Sale Id,Sales Date,Customer Id,Employee Id,Store Id,Product Id,No. Of Units,Sale Amount,Sales Reason ID,Product Cost
11000,288,569,42,8,167,106,3122,1,3033
11001,1328,495,88,35,394,298,4901,7,4518
11002,552,778,61,62,85,375,1469,10,1418
11003,140,484,62,11,327,301,1459,4,1302
11004,231,709,35,18,493,451,1405,6,1377
11005,704,749,8,28,266,171,1623,9,1550
11006,972,614,86,45,16,474,1279,10,956
11007,232,633,68,64,94,500,3743,6,3383
11008,1175,642,16,20,167,335,2940,3,2918
11009,657,607,95,57,392,206,1611,3,1277
11010,469,684,57,20,331,303,3584,8,3280
11011,589,586,52,47,7,164,3263,3,3189
11012,12,534,10,76,246,492,1562,2,1554
11013,417,496,14,69,227,366,3309,4,3153
11014,312,770,91,11,484,306,1721,7,1581
11015,714,761,85,20,225,333,3100,1,2776
11016,199,417,88,27,122,281,4850,1,4495
11017,103,654,48,62,464,304,4977,2,4621
11018,813,795,9,15,167,293,3112,7,2954
11019,839,755,54,15,224,194,4517,3,4414
11020,959,648,5,64,214,490,2013,7,1615
11021,24,767,77,60,79,115,3737,7,3478
11022,544,703,67,50,314,235,4671,7,4486
11023,631,598,47,60,347,281,3367,7,3182
11024,631,459,86,9,172,285,2347,4,2130
11025,968,450,71,66,401,418,3025,5,2976
11026,300,674,86,46,118,179,3603,5,3208
11027,1137,721,87,9,388,206,1056,9,774
11028,1170,557,15,89,141,129,2168,4,2163
11029,1351,767,95,16,460,133,2239,5,1981
11030,758,630,94,69,271,500,2611,7,2602
11031,902,448,80,83,152,235,4266,4,3904
11032,712,461,46,52,286,436,1955,2,1695
11033,86,478,35,1,109,128,1567,8,1549
11034,337,698,25,26,219,445,4282,8,4007
11035,1165,796,68,23,90,322,2945,5,2849
11036,764,752,48,4,39,279,1157,7,925
11037,610,617,30,80,226,372,3764,2,3474
11038,646,419,88,38,33,295,4138,2,3994
11039,392,572,55,70,491,170,3666,2,3420
11040,155,547,61,18,169,467,4980,10,4946
11041,1188,436,91,10,423,481,3965,7,3904
11042,85,451,26,80,275,352,2481,4,2224
11043,479,736,3,67,477,405,3896,3,3870
11044,68,668,6,2,378,276,3768,5,3660
11045,17,547,2,21,258,412,3285,3,2903
11046,1073,533,20,18,454,295,3055,7,2977
11047,721,416,16,16,360,143,2456,2,2137
11048,1401,679,1,33,101,324,1932,3,1595
11049,237,725,31,83,10,395,3559,9,3375
11050,3,516,73,91,128,160,4399,1,4112
11051,562,735,6,14,215,262,1148,4,853
11052,1015,728,11,20,66,249,2422,4,2153
11053,1322,642,52,25,412,156,1359,9,1176
11054,726,579,2,78,289,203,2947,9,2602
11055,1156,791,33,10,421,318,2570,3,2417
11056,1126,440,43,25,182,159,4900,1,4692
11057,455,793,14,60,316,229,2307,5,1985
11058,235,517,26,92,273,167,1073,6,998
11059,1277,565,67,2,280,344,3416,9,3147
11060,694,512,22,13,166,465,3582,8,3314
11061,955,530,18,69,53,141,1237,6,1185
11062,196,402,45,22,244,185,1329,6,1032
11063,1164,665,49,84,482,426,4858,6,4717
11064,998,450,81,73,202,494,2185,8,2077
11065,801,402,7,72,29,151,2202,2,2018
11066,701,606,13,8,165,423,3395,9,3181
11067,935,663,23,64,100,258,1017,6,926
11068,966,694,85,70,268,175,3872,7,3662
11069,1304,493,18,70,9,468,2340,1,2241
11070,144,721,54,55,246,155,3313,5,3197
11071,333,621,57,75,237,330,1431,2,1143
11072,1318,708,82,59,373,279,2509,7,2171
11073,320,655,66,55,209,456,3572,7,3330
11074,373,544,73,13,481,367,1590,7,1442
11075,92,624,37,88,346,360,2901,2,2859
11076,1020,482,93,72,98,431,3188,8,3079
11077,698,735,19,26,402,479,4986,4,4613
11078,882,659,41,68,65,166,1093,1,745
11079,1235,444,41,79,228,481,1507,3,1486
11080,379,709,89,51,484,408,1315,8,1090
11081,724,460,62,54,202,290,2197,1,1918
11082,44,724,6,60,150,272,3354,10,3051
11083,123,767,81,9,5,157,2921,6,2546
11084,846,572,42,16,463,445,2000,8,1830
11085,835,733,73,32,1,292,4230,2,3927
11086,483,626,65,37,213,162,3675,3,3428
11087,491,472,86,52,322,343,3576,8,3333
11088,184,496,2,79,324,292,2420,3,2284
11089,966,634,74,88,183,318,3272,8,3197
11090,970,781,49,18,11,499,4894,7,4548
11091,960,753,14,80,434,245,1736,5,1536
11092,748,418,75,45,225,240,4478,4,4440
11093,135,648,60,33,32,279,3725,9,3384
11094,1332,798,48,12,299,326,4745,9,4478
11095,1450,655,97,6,86,279,4998,7,4687
11096,637,565,13,60,385,164,3510,1,3219
11097,529,411,45,73,395,379,1430,5,1076
11098,1090,614,70,14,271,292,3237,1,2965
11099,659,407,53,28,459,112,3862,9,3726
11100,621,574,85,7,102,321,2982,7,2867
11101,1101,489,77,90,373,326,2742,8,2709
11102,41,537,93,26,139,281,3647,3,3554
11103,915,432,66,10,238,468,1030,1,707
11104,397,619,1,82,14,464,3642,2,3322
11105,1116,797,62,91,314,270,1554,3,1552
11106,1061,521,35,81,336,398,4993,1,4970
11107,1288,702,82,90,406,464,3527,5,3460
11108,1253,497,88,67,382,327,2983,10,2810
11109,193,629,38,1,305,483,1280,10,916
11110,80,746,55,2,83,401,3547,9,3288
11111,872,749,61,59,420,220,2526,9,2479
11112,1142,576,71,26,159,341,2331,4,2203
11113,160,686,68,55,14,443,4638,5,4494
11114,1125,571,50,58,448,338,3819,5,3792
11115,423,431,9,13,301,259,3872,3,3474
11116,1392,750,70,55,106,316,3628,4,3475
11117,881,765,88,60,65,164,1467,6,1298
11118,853,673,47,77,4,406,3622,8,3612
11119,1082,483,91,71,450,239,3579,7,3370
11120,739,564,57,20,374,115,4419,7,4193
11121,1075,409,49,49,234,392,2405,1,2236
11122,989,431,16,88,446,315,1568,3,1402
11123,766,440,61,92,340,177,2480,7,2349
11124,863,657,83,10,158,420,3387,5,3206
11125,2,500,37,85,283,451,2188,9,1980
11126,166,679,35,63,57,252,3896,5,3824
11127,652,630,86,31,325,156,2903,6,2714
11128,806,438,23,32,50,206,3398,6,3028
11129,679,713,89,20,161,279,2406,10,2166
11130,1018,447,44,45,462,355,2769,2,2614
11131,69,505,43,29,319,378,4018,6,3964
11132,1105,547,46,61,90,378,2902,7,2865
11133,492,709,65,53,64,418,4829,5,4754
11134,152,526,41,10,201,318,3421,3,3174
11135,1003,460,22,11,211,485,1885,5,1737
11136,957,654,18,5,278,189,3524,5,3386
11137,1053,497,96,11,117,400,4121,10,3788
11138,805,706,60,62,295,115,3831,4,3728
11139,327,592,81,56,233,127,4840,6,4547
11140,313,769,59,3,140,158,2807,10,2434
11141,587,451,41,66,307,198,2202,8,1890
11142,468,514,12,89,158,445,4662,3,4393
11143,794,444,67,49,91,124,2637,6,2373
11144,801,535,77,71,490,209,1928,10,1754
11145,528,793,16,83,13,347,3312,7,3233
11146,1065,692,19,14,389,488,4122,7,4093
11147,1452,780,75,21,326,223,4253,5,4179
11148,686,639,48,32,18,164,2686,2,2328
11149,769,720,4,71,277,108,2640,4,2428
11150,898,613,38,90,82,368,2180,3,2164
11151,421,725,82,32,50,126,2682,2,2317
11152,575,799,11,18,113,209,1851,6,1706
11153,341,715,27,23,106,130,1686,4,1593
11154,1084,447,46,4,3,304,3394,8,3304
11155,764,537,33,55,2,144,4766,4,4656
11156,1253,575,35,90,477,337,4484,9,4160
11157,1105,697,52,22,384,495,3273,9,3058
11158,1031,587,41,77,484,318,3781,2,3466
11159,835,675,36,32,493,463,1679,7,1293
11160,687,608,96,36,424,424,3496,4,3281
11161,944,532,62,61,492,328,3189,4,2982
11162,192,490,16,27,337,279,2635,2,2549
11163,377,590,71,54,280,383,4729,4,4478
11164,685,626,42,48,101,276,3816,10,3738
11165,1399,670,11,69,421,155,4591,1,4555
11166,940,552,84,27,450,282,3246,10,3225
11167,687,749,87,13,402,498,3020,5,2827
11168,1264,706,12,85,365,413,2077,4,1938
